iter	Passed	Remaining
402	15842	43124
403	15875	43068
404	15910	43018
405	15943	42961
406	15989	42939
407	16038	42926
408	16079	42891
409	16117	42848
410	16153	42800
411	16190	42756
412	16225	42704
413	16263	42661
414	16299	42613
415	16340	42579
416	16386	42557
417	16430	42530
418	16471	42495
419	16515	42467
420	16554	42427
421	16585	42368
422	16620	42316
423	16654	42263
424	16687	42208
425	16718	42150
426	16746	42082
427	16776	42019
428	16803	41949
429	16837	41897
430	16875	41856
431	16912	41810
432	16945	41756
433	16981	41710
434	17017	41664
435	17050	41610
436	17086	41562
437	17120	41511
438	17158	41469
439	17195	41425
440	17223	41359
441	17252	41297
442	17288	41249
443	17322	41199
444	17368	41175
445	17417	41161
446	17463	41138
447	17504	41104
448	17544	41068
449	17583	41028
450	17622	40988
451	17656	40939
452	17690	40886
453	17722	40831
454	17753	40775
455	17789	40728
456	17825	40681
457	17862	40639
458	17898	40593
459	17936	40552
460	17974	40509
461	18013	40470
462	18046	40419
463	18075	40357
464	18107	40304
465	18138	40247
466	18166	40184
467	18194	40121
468	18221	40056
469	18248	39991
470	18287	39952
471	18319	39898
472	18356	39856
473	18389	39805
474	18422	39752
475	18451	39695
476	18484	39642
477	18522	39601
478	18557	39554
479	18587	39497
480	18616	39439
481	18649	39389
482	18685	39344
483	18722	39302
484	18760	39261
485	18804	39233
486	18844	39197
487	18886	39165
488	18925	39128
489	18965	39092
490	19009	39064
491	19048	39025
492	19090	38993
493	19130	38957
494	19171	38923
495	19210	38886
496	19248	38844
497	19287	38807
498	19321	38758
499	19356	38712
500	19388	38660
501	19419	38607
502	19451	38554
503	19487	38511
504	19524	38468
505	19559	38423
506	19595	38378
507	19633	38339
508	19670	38298
509	19718	38277
510	19753	38230
511	19791	38192
512	19825	38143
513	19863	38103
514	19899	38059
515	19936	38017
516	19974	37979
517	20011	37936
518	20049	37897
519	20096	37873
520	20144	37852
521	20190	37827
522	20234	37798
523	20277	37768
524	20323	37743
525	20365	37711
526	20404	37673
527	20446	37639
528	20493	37616
529	20529	37573
530	20564	37526
531	20601	37484
532	20638	37444
533	20677	37405
534	20712	37359
535	20747	37315
536	20786	37275
537	20823	37234
538	20864	37199
539	20919	37191
540	20970	37173
541	21021	37155
542	21063	37122
543	21107	37092
544	21152	37066
545	21190	37025
546	21233	36993
547	21278	36966
548	21324	36939
549	21373	36917
550	21420	36893
551	21469	36871
552	21510	36836
553	21549	36797
554	21591	36763
555	21627	36719
556	21667	36683
557	21701	36636
558	21735	36588
559	21769	36541
560	21806	36499
561	21843	36458
562	21881	36417
563	21916	36371
564	21947	36319
565	21979	36269
566	22010	36219
567	22041	36167
568	22075	36120
569	22107	36070
570	22141	36022
571	22175	35976
572	22207	35928
573	22240	35878
574	22272	35830
575	22306	35783
576	22339	35735
577	22368	35681
578	22397	35627
579	22427	35575
580	22460	35527
581	22497	35485
582	22532	35440
583	22566	35395
584	22602	35353
585	22641	35314
586	22680	35275
587	22717	35234
588	22760	35203
589	22800	35166
590	22845	35137
591	22897	35120
592	22948	35100
593	22999	35079
594	23050	35059
595	23102	35042
596	23154	35022
597	23199	34993
598	23241	34959
599	23290	34935
600	23341	34914
601	23393	34895
602	23444	34875
603	23501	34862
604	23558	34851
605	23619	34844
606	23672	34825
607	23728	34812
608	23796	34815
609	23841	34785
610	23885	34753
611	23919	34706
612	23956	34664
613	23999	34630
614	24033	34584
615	24074	34548
616	24105	34497
617	24135	34446
618	24165	34394
619	24191	34336
620	24214	34274
621	24241	34218
622	24268	34162
623	24296	34108
624	24323	34052
625	24350	33997
626	24378	33942
627	24401	33882
628	24426	33823
629	24454	33769
630	24486	33722
631	24512	33665
632	24538	33608
633	24566	33555
634	24594	33502
635	24627	33455
636	24658	33406
637	24686	33353
638	24712	33297
639	24738	33242
640	24768	33192
641	24800	33143
642	24826	33089
643	24855	33037
644	24880	32981
645	24908	32929
646	24936	32875
647	24965	32825
648	24996	32776
649	25024	32724
650	25052	32672
651	25082	32623
652	25116	32578
653	25149	32532
654	25178	32482
655	25209	32433
656	25236	32380
657	25264	32328
658	25292	32277
659	25319	32224
660	25346	32171
661	25376	32123
662	25401	32068
663	25433	32021
664	25463	31972
665	25491	31921
666	25517	31867
667	25541	31812
668	25566	31757
669	25592	31703
670	25618	31650
671	25641	31593
672	25664	31537
673	25687	31481
674	25711	31425
675	25739	31375
676	25768	31325
677	25793	31272
678	25821	31221
679	25850	31172
680	25877	31120
681	25902	31067
682	25927	31014
683	25953	30962
684	25976	30905
685	26000	30852
686	26026	30800
687	26052	30747
688	26078	30695
689	26105	30645
690	26129	30592
691	26154	30538
692	26179	30485
693	26202	30430
694	26230	30381
695	26260	30335
696	26289	30287
697	26316	30237
698	26346	30190
699	26375	30143
700	26403	30094
701	26432	30047
702	26461	29999
703	26492	29954
704	26524	29910
705	26556	29867
706	26592	29826
707	26625	29784
708	26655	29737
709	26684	29691
710	26711	29642
711	26737	29591
712	26768	29546
713	26798	29500
714	26830	29456
715	26862	29414
716	26894	29369
717	26926	29326
718	26954	29278
719	26983	29232
720	27014	29187
721	27046	29143
722	27081	29104
723	27124	29072
724	27158	29031
725	27194	28992
726	27243	28966
727	27290	28939
728	27328	28902
729	27356	28855
730	27384	28807
731	27412	28760
732	27438	28710
733	27465	28662
734	27495	28617
735	27529	28576
736	27568	28540
737	27609	28507
738	27651	28475
739	27683	28431
740	27716	28390
741	27761	28360
742	27806	28330
743	27848	28297
744	27883	28258
745	27917	28216
746	27952	28176
747	27987	28137
748	28027	28102
749	28062	28062
750	28093	28018
751	28125	27975
752	28152	27927
753	28178	27879
754	28207	27834
755	28244	27796
756	28280	27757
757	28313	27715
758	28343	27670
759	28370	27623
760	28396	27575
761	28427	27532
762	28459	27489
763	28487	27443
764	28515	27396
765	28545	27353
766	28578	27311
767	28608	27267
768	28641	27226
769	28675	27186
770	28706	27142
771	28741	27102
772	28777	27065
773	28810	27023
774	28850	26988
775	28890	26954
776	28925	26915
777	28961	26877
778	28994	26835
779	29032	26799
780	29069	26762
781	29104	26722
782	29133	26677
783	29158	26629
784	29183	26581
785	29208	26532
786	29235	26486
787	29268	26445
788	29299	26403
789	29331	26360
790	29361	26317
791	29389	26272
792	29420	26230
793	29451	26187
794	29488	26149
795	29519	26107
796	29553	26068
797	29583	26024
798	29613	25981
799	29643	25937
800	29669	25891
801	29703	25851
802	29735	25810
803	29769	25770
804	29802	25730
805	29837	25690
806	29869	25650
807	29905	25612
808	29938	25572
809	29968	25528
810	30000	25487
811	30040	25453
812	30078	25417
813	30111	25376
814	30144	25336
815	30177	25295
816	30216	25260
817	30254	25224
818	30286	25183
819	30320	25144
820	30354	25104
821	30395	25070
822	30436	25037
823	30471	24998
824	30509	24962
825	30540	24920
826	30573	24879
827	30603	24838
828	30633	24795
829	30661	24750
830	30691	24707
831	30718	24663
832	30745	24618
833	30773	24574
834	30805	24533
835	30833	24489
836	30858	24443
837	30889	24402
838	30915	24356
839	30945	24314
840	30985	24280
841	31022	24243
842	31052	24201
843	31081	24158
844	31107	24112
845	31132	24067
846	31159	24022
847	31186	23977
848	31217	23936
849	31249	23896
850	31279	23854
851	31307	23811
852	31335	23767
853	31365	23726
854	31398	23686
855	31429	23645
856	31462	23605
857	31495	23566
858	31534	23531
859	31566	23491
860	31609	23459
861	31642	23419
862	31681	23384
863	31735	23361
864	31788	23336
865	31836	23307
866	31878	23274
867	31914	23237
868	31955	23203
869	31985	23161
870	32016	23121
871	32047	23080
872	32078	23039
873	32106	22995
874	32136	22954
875	32163	22911
876	32191	22868
877	32219	22824
878	32247	22782
879	32275	22739
880	32300	22694
881	32334	22656
882	32371	22619
883	32411	22585
884	32445	22546
885	32475	22505
886	32516	22471
887	32546	22430
888	32581	22392
889	32620	22357
890	32663	22325
891	32711	22296
892	32759	22267
893	32810	22240
894	32858	22211
895	32903	22180
896	32947	22148
897	32985	22112
898	33025	22078
899	33073	22048
900	33124	22021
901	33169	21990
902	33213	21958
903	33258	21926
904	33306	21897
905	33354	21868
906	33410	21843
907	33457	21813
908	33506	21785
909	33549	21751
910	33601	21725
911	33665	21705
912	33715	21676
913	33766	21649
914	33809	21616
915	33851	21582
916	33899	21552
917	33953	21526
918	34008	21500
919	34052	21468
920	34104	21440
921	34154	21411
922	34197	21378
923	34242	21346
924	34292	21316
925	34344	21289
926	34381	21251
927	34428	21221
928	34465	21183
929	34498	21144
930	34538	21108
931	34571	21069
932	34605	21030
933	34649	20997
934	34685	20959
935	34718	20920
936	34755	20883
937	34793	20846
938	34831	20809
939	34870	20774
940	34909	20738
941	34945	20700
942	34980	20661
943	35016	20624
944	35053	20587
945	35084	20546
946	35112	20503
947	35141	20462
948	35172	20421
949	35204	20381
950	35245	20346
951	35310	20325
952	35342	20285
953	35375	20246
954	35408	20206
955	35440	20166
956	35470	20125
957	35498	20083
958	35528	20042
959	35560	20002
960	35588	19960
961	35614	19917
962	35643	19876
963	35672	19834
964	35700	19792
965	35736	19754
966	35774	19718
967	35805	19677
968	35831	19635
969	35857	19592
970	35885	19550
971	35913	19508
972	35939	19465
973	35966	19423
974	36003	19386
975	36030	19344
976	36058	19302
977	36084	19260
978	36114	19219
